tweet_id,date_created,favorite_count,retweet_count
828408677031882754,Mon Feb 06 01:03:14 +0000 2017,7231,1183
828381636999917570,Sun Feb 05 23:15:47 +0000 2017,11831,2056
828376505180889089,Sun Feb 05 22:55:23 +0000 2017,6970,991
828372645993398273,Sun Feb 05 22:40:03 +0000 2017,11837,2722
828361771580813312,Sun Feb 05 21:56:51 +0000 2017,2062,165
828046555563323392,Sun Feb 05 01:04:17 +0000 2017,11024,2649
828011680017821696,Sat Feb 04 22:45:42 +0000 2017,9749,1981
827933404142436356,Sat Feb 04 17:34:40 +0000 2017,18795,4815
827653905312006145,Fri Feb 03 23:04:02 +0000 2017,14554,2788
827600520311402496,Fri Feb 03 19:31:54 +0000 2017,7052,864
827324948884643840,Fri Feb 03 01:16:53 +0000 2017,14916,2801
827199976799354881,Thu Feb 02 17:00:17 +0000 2017,9978,2057
826958653328592898,Thu Feb 02 01:01:21 +0000 2017,20255,4592
826848821049180160,Wed Feb 01 17:44:55 +0000 2017,33970,9310
826615380357632002,Wed Feb 01 02:17:19 +0000 2017,0,3672
826598799820865537,Wed Feb 01 01:11:25 +0000 2017,4841,229
826598365270007810,Wed Feb 01 01:09:42 +0000 2017,9418,2174
826476773533745153,Tue Jan 31 17:06:32 +0000 2017,17330,3887
826240494070030336,Tue Jan 31 01:27:39 +0000 2017,12492,2412
826204788643753985,Mon Jan 30 23:05:46 +0000 2017,4584,855
826115272272650244,Mon Jan 30 17:10:04 +0000 2017,14699,2861
825876512159186944,Mon Jan 30 01:21:19 +0000 2017,9894,1735
825829644528148480,Sun Jan 29 22:15:05 +0000 2017,11985,2325
825535076884762624,Sun Jan 29 02:44:34 +0000 2017,53813,16311
825147591692263424,Sat Jan 28 01:04:51 +0000 2017,17215,4163
825120256414846976,Fri Jan 27 23:16:13 +0000 2017,0,1165
825026590719483904,Fri Jan 27 17:04:02 +0000 2017,5884,1165
824796380199809024,Fri Jan 27 01:49:15 +0000 2017,0,5080
824775126675836928,Fri Jan 27 00:24:48 +0000 2017,14018,3260
824663926340194305,Thu Jan 26 17:02:56 +0000 2017,9916,1638
824325613288833024,Wed Jan 25 18:38:36 +0000 2017,11147,9860
824297048279236611,Wed Jan 25 16:45:05 +0000 2017,14183,3557
824025158776213504,Tue Jan 24 22:44:42 +0000 2017,4567,556
823939628516474880,Tue Jan 24 17:04:50 +0000 2017,10032,2524
823719002937630720,Tue Jan 24 02:28:08 +0000 2017,0,10320
823699002998870016,Tue Jan 24 01:08:40 +0000 2017,13175,2330
823581115634085888,Mon Jan 23 17:20:14 +0000 2017,12220,2434
823333489516937216,Mon Jan 23 00:56:15 +0000 2017,660,22
